portfolio,regime,n_days,cagr,vol,sharpe,sortino,max_drawdown,calmar,worst_month,worst_quarter,start,end,years
AW-synthetic,Full sample,7415,0.07874490437456205,0.10030579361515647,0.6998169451139702,0.8801353291532299,-0.30268087704817037,0.2601581743204416,-0.11277438945964469,-0.12684949882483387,2006-01-01,2026-04-20,20.298425735797398
AW-synthetic,2006-2015,3652,0.07123698773783982,0.0914330176674192,0.7495015537560346,0.9400256633665676,-0.21381015653426239,0.3331786894156467,-0.09984797862070427,-0.11187005182497811,2006-01-01,2015-12-31,9.995893223819301
AW-synthetic,2016-2021,2192,0.1291738804729532,0.10942712869548801,1.1296994921592634,1.3769431511526813,-0.30268087704817026,0.4267659117837027,-0.06878894213531372,-0.09601998095544384,2016-01-01,2021-12-31,5.9986310746064335
AW-synthetic,2022,365,-0.2296275900848489,0.13872326771063523,-1.7247268601476349,-2.457170072933724,-0.2872811462893321,-0.7993131225311317,-0.11277438945964469,-0.12684949882483387,2022-01-01,2022-12-31,0.9965776865160849
AW-synthetic,2023-present,1206,0.12274650178449642,0.09425385217273308,0.9696399260501103,1.316317938597585,-0.12216665220888034,1.0047463818082258,-0.05711288091926914,-0.0693571185857188,2023-01-01,2026-04-20,3.299110198494182
AW-synthetic,High VIX (>25),880,-0.007118498086173264,0.18295740129391908,-0.09552187823384178,-0.11888770617165792,-0.3654365533410694,-0.01947943636478375,-0.1264963205075833,-0.16772794012259218,2007-08-03,2026-04-07,18.677618069815196
AW-synthetic,Low VIX,4225,0.08641573574309636,0.10326620556690148,0.7124209803823025,1.0240653217992428,-0.15213614225510697,0.5680158209756072,-0.06875677149729953,-0.11179113970279175,2006-01-03,2026-04-20,20.292950034223136
All Beta (unlev),Full sample,7415,0.057645599850247864,0.06979336940214467,0.7034534936662381,0.7271128024696026,-0.27585592439547657,0.2089699540677805,-0.13564141940385754,-0.10330979562922793,2006-01-01,2026-04-20,20.298425735797398
All Beta (unlev),2006-2015,3652,0.04982735757935752,0.07162323747830278,0.6578808820548714,0.6944414870254246,-0.27585592439547657,0.18062819454956966,-0.13564141940385754,-0.07745335325160596,2006-01-01,2015-12-31,9.995893223819301
All Beta (unlev),2016-2021,2192,0.07814759008064742,0.06468287426838414,1.122298323080485,1.0397033454343394,-0.19716546496067944,0.3963553662718384,-0.08734909432244053,-0.10330979562922793,2016-01-01,2021-12-31,5.9986310746064335
All Beta (unlev),2022,365,-0.14268271680087907,0.10215519842868537,-1.4910144075569978,-2.0293248177559384,-0.19909485544188055,-0.7166569748083259,-0.07078310376009178,-0.09798487651523935,2022-01-01,2022-12-31,0.9965776865160849
All Beta (unlev),2023-present,1206,0.11314551581672916,0.060183673229240064,1.3590282529182947,1.5924255398209073,-0.0702936877962611,1.6096113230631688,-0.03580823519348497,-0.031113874056685087,2023-01-01,2026-04-20,3.299110198494182
All Beta (unlev),High VIX (>25),880,-0.031327158443155256,0.15320781321003346,-0.27208204393736446,-0.36104109896864633,-0.4622037243110261,-0.06777781483663378,-0.13564141940385754,-0.13221097241219348,2007-08-03,2026-04-07,18.677618069815196
All Beta (unlev),Low VIX,4225,0.08921760102807141,0.06005841643462285,1.2716098963155587,1.8530868823489117,-0.10018264140431021,0.8905494981711768,-0.038664407158019554,-0.05772292349598762,2006-01-03,2026-04-20,20.292950034223136
All Beta (lev 15%),Full sample,7415,0.08527299581795678,0.16249548917273735,0.47215947900453,0.5558132630757888,-0.5212017240576869,0.16360843006060108,-0.28008587139768026,-0.32193828438790295,2006-01-01,2026-04-20,20.298425735797398
All Beta (lev 15%),2006-2015,3652,0.05894211661835613,0.1591365408557408,0.35337149710843,0.43189382411371163,-0.5212017240576869,0.11308887499349941,-0.270178790597289,-0.1662792803293689,2006-01-01,2015-12-31,9.995893223819301
All Beta (lev 15%),2016-2021,2192,0.141292164707846,0.17680638448927583,0.7677214617714505,0.8208161508125359,-0.5068130406075454,0.27878557453547587,-0.28008587139768026,-0.32193828438790295,2016-01-01,2021-12-31,5.9986310746064335
All Beta (lev 15%),2022,365,-0.2534321705167636,0.19699110525080932,-1.3354122057692124,-1.9507817079170577,-0.34350181966184834,-0.7377898922522403,-0.15636333982543826,-0.16553674061803902,2022-01-01,2022-12-31,0.9965776865160849
All Beta (lev 15%),2023-present,1206,0.19476170638490076,0.13035608950407154,1.2535471374815015,1.6593880325625776,-0.15522627638924447,1.254695473700068,-0.07853131264951352,-0.07105631675065704,2023-01-01,2026-04-20,3.299110198494182
All Beta (lev 15%),High VIX (>25),880,-0.08938922470692445,0.35652249815102804,-0.279778027323467,-0.33666084850978,-0.8364704609004684,-0.1068647715433921,-0.28003444691929025,-0.36066572436802324,2007-08-03,2026-04-07,18.677618069815196
All Beta (lev 15%),Low VIX,4225,0.18394630991787864,0.1398618488056323,1.2233470889040927,1.7551685649021618,-0.21992842043725136,0.8363917203250276,-0.0991113466937098,-0.13243869270703457,2006-01-03,2026-04-20,20.292950034223136
Lev-constrained (RSSB-style),Full sample,7415,0.05420644596548896,0.0772130139445519,0.5913152890095107,0.7359065733636506,-0.311307596279634,0.17412503457447817,-0.14673539334304941,-0.11809533031211483,2006-01-01,2026-04-20,20.298425735797398
Lev-constrained (RSSB-style),2006-2015,3652,0.04268990902958247,0.08112557969997773,0.4928422113708148,0.632125655441221,-0.311307596279634,0.13713095838251244,-0.14673539334304941,-0.08824494862659438,2006-01-01,2015-12-31,9.995893223819301
Lev-constrained (RSSB-style),2016-2021,2192,0.07862372555404518,0.0703860716862712,1.038126081570814,1.1579036375949565,-0.20884487425735765,0.37646950078917363,-0.09627636251225413,-0.11809533031211483,2016-01-01,2021-12-31,5.9986310746064335
Lev-constrained (RSSB-style),2022,365,-0.14905637084100953,0.11006200336546197,-1.4418102692281323,-2.0727163196561538,-0.20716488395887478,-0.7195059702811378,-0.0757562635453698,-0.1021143631471727,2022-01-01,2022-12-31,0.9965776865160849
Lev-constrained (RSSB-style),2023-present,1206,0.11546492190995528,0.0634223949002863,1.3261990265174628,1.798011979059667,-0.07126103997692435,1.620309245379312,-0.03861126788092273,-0.03199428468828536,2023-01-01,2026-04-20,3.299110198494182
